>> test
,0.63449,0.65337,0.65423,0.6576,0.6538
,0.62887,0.61533,0.63571,0.65242,0.60034
,0.6103,0.61175,0.631,0.63343,0.56649
,0.60889,0.59698,0.57646,0.60895,0.53565
,0.60629,0.59514,0.53594,0.5359,0.41282
,0.60457,0.54866,0.53449,0.51181,0.26275
,0.57934,0.45956,0.50727,0.41613,0.22459
,0.50106,0.44701,0.43337,0.38789,0.18989
,0.48105,0.42968,0.42841,0.36649,0.17853
,0.47343,0.42652,0.41423,0.36089,0.17774
,0.45665,0.42488,0.37313,0.35387,0.17731
,0.44684,0.40848,0.35487,0.34183,0.1609
,0.44403,0.39879,0.34714,0.34049,0.14209
,0.44256,0.39849,0.33863,0.33686,0.1272
,0.43634,0.37582,0.31839,0.32986,0.12518
,0.41877,0.35105,0.31603,0.32965,0.12141
,0.41721,0.35043,0.27359,0.31961,0.11993
,0.41153,0.33844,0.23663,0.31202,0.11944
,0.39957,0.33023,0.22881,0.30512,0.11176
,0.39908,0.32743,0.21604,0.30044,0.10958
,0.39224,0.32625,0.21311,0.29839,0.10864
,0.3873,0.30005,0.20692,0.29801,0.10821
,0.38662,0.2877,0.2051,0.29768,0.10802
,0.3855,0.28622,0.2029,0.29331,0.10762
,0.38077,0.27539,0.19598,0.29014,0.10753
,0.37585,0.2704,0.18699,0.28339,0.10736
,0.37147,0.26844,0.18597,0.28049,0.1055
,0.3688,0.26371,0.1789,0.28046,0.10525
,0.36652,0.26358,0.17741,0.27689,0.10449
,0.36515,0.25729,0.17486,0.26916,0.10277
,0.36317,0.25226,0.17105,0.26825,0.10088
,0.36001,0.24182,0.17033,0.26709,0.099966
,0.35634,0.2383,0.16965,0.26449,0.099878
,0.35216,0.23057,0.1596,0.26079,0.099531
,0.3499,0.22828,0.15821,0.26067,0.098755
,0.34801,0.2277,0.15542,0.2598,0.098031
,0.31826,0.21717,0.1544,0.2596,0.097835
,0.29402,0.21154,0.15306,0.25915,0.097197
,0.29036,0.21088,0.1432,0.25795,0.096753
,0.26545,0.20893,0.13585,0.25227,0.09421
,0.25826,0.20398,0.13113,0.25078,0.093479
,0.23615,0.2022,0.1304,0.25077,0.091842
,0.23273,0.20078,0.11958,0.24586,0.089843
,0.22965,0.20032,0.11042,0.24542,0.089441
,0.22435,0.19712,0.10689,0.24502,0.089006
,0.22248,0.19188,0.10035,0.24223,0.088578
,0.21662,0.19143,0.099989,0.23993,0.088242
,0.2153,0.18872,0.095074,0.23855,0.086235
,0.21105,0.1856,0.094736,0.23581,0.085551
,0.2022,0.18299,0.092526,0.23521,0.085022
,0.19856,0.18229,0.086642,0.23087,0.083914
,0.19632,0.18225,0.08394,,0.083331
,0.19583,0.17935,0.083638,,0.08267
,0.1946,0.17698,0.083596,,0.082548
,0.19344,0.17398,0.083376,,0.082409
,0.19075,0.17262,0.07928,,0.082227
,0.18339,0.17258,0.079185,,0.080429
,0.1815,0.17242,0.077476,,0.079213
,0.18133,0.17235,0.077004,,0.078579
,0.17696,0.17023,0.076659,,0.078344
,0.1745,0.16733,0.075381,,0.078096
,0.17387,0.16531,0.073158,,0.077748
,0.17381,0.16426,0.072824,,0.077451
,0.17139,0.16312,0.071692,,0.077396
,0.1695,0.16288,0.071519,,0.076657
,0.16928,0.16058,0.070851,,0.07665
,0.16502,0.16041,0.070745,,0.075763
,0.16379,0.15982,0.067517,,
,0.16284,0.15688,0.06691,,
,0.16062,0.15613,0.066696,,
,0.16049,0.15531,0.063821,,
,0.15974,0.15526,0.063568,,
,0.15844,0.15445,0.063557,,
,0.15772,0.15382,0.06273,,
,0.1541,0.1531,0.061338,,
,0.1528,0.15305,0.060791,,
,0.15273,0.14982,0.05878,,
,0.1527,0.14925,0.058354,,
,0.15267,0.14612,0.058328,,
,0.15041,0.14505,0.05712,,
,0.14949,0.14466,0.056168,,
,,0.14285,0.055687,,
,,,0.055536,,
,,,0.054272,,
,,,0.053388,,
,,,0.052979,,
,,,0.051113,,
,,,0.050614,,
